# subjectId=q
# testId=1
# testType=PVT_AUDITORY_GO_NOGO
# total=12
# hits=4
# correct rejections=5
# misses=1
# false positives=2
# CV'=0.0985
# mean=477.00 ms
# sd=47.00 ms
# median=462.50 ms
# Q10=438.00 ms
# Q25=442.75 ms
# Q75=525.75 ms
# Q90=545.00 ms
# max=545 ms
# min=438 ms
# reaction speed=2.096436
# performance score=0.750000
# lapse probability=0.083333
timepoint (ms)	duration (ms)	type
3004	545	TRUE_POSITIVE
7976	620	FALSE_POSITIVE
12874	1501	FALSE_NEGATIVE
17379	1501	TRUE_NEGATIVE
21884	438	TRUE_POSITIVE
26966	1500	TRUE_NEGATIVE
31471	1500	TRUE_NEGATIVE
35977	1500	TRUE_NEGATIVE
40482	1501	TRUE_NEGATIVE
44988	457	TRUE_POSITIVE
50050	468	TRUE_POSITIVE
55098	1231	FALSE_POSITIVE
