# subjectId=q
# testId=1
# testType=PVT_VISUAL_GO_NOGO
# total=10
# hits=5
# correct rejections=5
# misses=0
# false positives=0
# CV'=0.3240
# mean=406.80 ms
# sd=131.81 ms
# median=347.00 ms
# Q10=302.00 ms
# Q25=322.00 ms
# Q75=521.50 ms
# Q90=632.00 ms
# max=632 ms
# min=302 ms
# reaction speed=2.458210
# performance score=1.000000
# lapse probability=0.000000
timepoint (ms)	duration (ms)	type
3002	411	TRUE_POSITIVE
7503	347	TRUE_POSITIVE
12004	1501	TRUE_NEGATIVE
16506	1500	TRUE_NEGATIVE
21008	632	TRUE_POSITIVE
25510	1500	TRUE_NEGATIVE
30012	342	TRUE_POSITIVE
34513	1500	TRUE_NEGATIVE
39015	302	TRUE_POSITIVE
43517	1500	TRUE_NEGATIVE
