Expected, Response 
red,blue blue 
red,brown green 
red,blue red 
green,white green 
green,green green 
green,green 
blue,white blue 
blue,blue 
blue,blue 
white, 
white,white orange 
white,white 
black,blue 
black,black 
black,blue 
orange,orange 
orange,blue 
orange,orange 
yellow,yellow 
yellow,yellow 
yellow,yellow 
brown,brown 
brown,brown 
brown,brown 
pink,pink 
pink,pink 
pink,pink 
purple,purple 
purple,purple 
purple,purple 

