Expected, Response 
0,4 
0,7 0 
0,1 
1,6 
1,8 
1,9 
2,1 
2,6 
2,3 
3,7 3 
3,4 
3,0 
4,-1 
4,0 
4,5 
5,-1 
5,2 
5,7 
6,8 
6,3 
6,2 
7,2 
7,5 
7,6 
8,5 
8,-1 
8,-1 
9,0 
9,-1 
9,8 

